,YearsOfExperience,Salary
0,4.06,54708.19
1,9.53,85983.97
2,7.45,75067.04
3,6.19,59189.72
4,1.98,41001.31
5,1.98,43308.45
6,1.05,42211.58
7,8.73,80306.92
8,6.21,64026.03
9,7.23,71372.97
10,0.7,37861.61
11,9.71,89575.0
12,8.41,78340.96
13,2.52,47173.07
14,2.23,43768.31
15,2.24,47314.58
16,3.39,47531.79
17,5.49,61629.35
18,4.6,56031.57
19,3.27,43765.94
20,6.31,69044.48
21,1.83,42024.22
22,3.28,49700.45
23,3.98,52941.65
24,4.83,53318.52
25,7.96,76077.42
26,2.4,43029.14
27,5.39,59130.89
28,6.13,66134.86
29,0.94,37256.2
30,6.27,75164.74
31,2.12,43418.31
32,1.12,37750.2
33,9.51,86762.22
34,9.67,80344.92
35,8.18,78973.94
36,3.39,50580.92
37,1.43,48432.97
38,7.0,71230.56
39,4.68,59286.19
40,1.66,39821.15
41,5.2,56525.29
42,0.83,39551.29
43,9.14,87847.73
44,2.96,50924.13
45,6.79,67102.45
46,3.46,56371.18
47,5.44,57032.6
48,5.69,66487.43
49,2.26,52321.82
50,9.71,84297.85
51,7.86,74894.81
52,9.43,86978.61
53,9.0,81986.1
54,6.18,60877.35
55,9.26,85834.25
56,1.34,33790.79
57,2.36,46054.37
58,0.93,31902.3
59,3.59,57739.74
60,4.19,52006.99
61,3.08,47191.75
62,8.37,83474.07
63,3.89,48416.54
64,3.17,49929.84
65,5.66,69188.57
66,1.84,34610.07
67,8.12,79458.54
68,1.21,38299.53
69,9.88,92407.29
70,7.84,72092.2
71,2.39,39058.17
72,0.55,35387.77
73,8.25,80687.94
74,7.22,74321.97
75,7.43,75965.79
76,7.83,74259.9
77,1.2,38129.01
78,3.91,54632.29
79,1.6,36742.59
80,8.7,89663.1
81,6.42,70415.33
82,3.64,47074.79
83,1.1,39226.21
84,3.45,46801.27
85,3.59,54688.34
86,7.43,79214.38
87,6.56,66077.27
88,8.93,87433.5
89,4.99,61591.12
90,1.64,43128.24
91,7.28,81267.17
92,7.73,75398.45
93,5.83,61965.06
94,7.82,73361.94
95,5.19,57876.76
96,5.47,62511.59
97,4.56,58724.61
98,0.74,35546.76
99,1.52,42428.73
